"job_title_short","job_location","avg_hourly","avg_yearly"
"Business Analyst","Addison, TX","26","54000"
"Business Analyst","Agoura Hills, CA","36","74750"
"Business Analyst","Ahmedabad, Gujarat, India","32","64800"
"Business Analyst","Alajuela Province, Alajuela, Costa Rica","24","48000"
"Business Analyst","Alameda, CA","54","112320"
"Business Analyst","Albuquerque, NM","34","68877"
"Business Analyst","Aliso Viejo, CA","20","39708"
"Business Analyst","Alpharetta, GA","54","111550"
"Business Analyst","Altamonte Springs, FL","53","109200"
"Business Analyst","Amarillo, TX","48","98800"
"Business Analyst","Ames, IA","32","65874"
"Business Analyst","Amsterdam, Netherlands","42","85800"
"Business Analyst","Anywhere","45","92264"
"Business Analyst","Argentina","39","79200"
"Business Analyst","Arlington Heights, IL","20","39554"
"Business Analyst","Arlington, TX","34","70000"
"Business Analyst","Asheville, NC","36","74340"
"Business Analyst","Athens, GA","14","27633"
"Business Analyst","Athens, Greece","32","66300"
"Business Analyst","Atlanta, GA","45","91607"
"Business Analyst","Atlantic City, NJ","31","62500"
"Business Analyst","Auburn, AL","29","58677"
"Business Analyst","Austell, GA","42","87048"
"Business Analyst","Austin, TX","47","96027"
"Business Analyst","Australia","20","41600"
"Business Analyst","Baltimore, MD","37","76702"
"Business Analyst","Bangkok, Thailand","33","68400"
"Business Analyst","Bengaluru, Karnataka, India","39","79200"
"Business Analyst","Berkeley, CA","38","77959"
"Business Analyst","Berlin, Germany","43","89100"
"Business Analyst","Bernards, NJ","31","64480"
"Business Analyst","Beverly Hills, CA","39","80000"
"Business Analyst","Big Sur, CA","25","52000"
"Business Analyst","Birmingham, AL","38","77500"
"Business Analyst","Bloomington, CA","39","79737"
"Business Analyst","Bloomington, IL","40","82500"
"Business Analyst","Boca Raton, FL","31","63750"
"Business Analyst","Boise, ID","30","62400"
"Business Analyst","Bolingbrook, IL","28","57200"
"Business Analyst","Boston, MA","47","97470"
"Business Analyst","Brea, CA","22","45760"
"Business Analyst","British Columbia, Canada","42","87360"
"Business Analyst","Brockton, MA","23","47500"
"Business Analyst","Brussels, Belgium","40","82620"
"Business Analyst","Bucharest, Romania","39","80850"
"Business Analyst","Buckhead, GA","41","85000"
"Business Analyst","Buena Park, CA","53","110000"
"Business Analyst","Buenos Aires, Argentina","31","63000"
"Business Analyst","Caguas, Puerto Rico","11","22537"
"Business Analyst","California","52","107849"
"Business Analyst","Canada","34","69050"
"Business Analyst","Carlsbad, CA","71","147500"
"Business Analyst","Carpinteria, CA","46","95000"
"Business Analyst","Carson, CA","18","37066"
"Business Analyst","Cedar Crest, NM","51","105145"
"Business Analyst","Cedar Rapids, IA","25","50987"
"Business Analyst","Celebration, FL","65","133328"
"Business Analyst","Centreville, VA","46","95000"
"Business Analyst","Chantilly, VA","49","99950"
"Business Analyst","Charleston, SC","40","82500"
"Business Analyst","Charlotte, NC","54","111076"
"Business Analyst","Chelsea, MA","47","97438"
"Business Analyst","Chesterfield, MO","45","91584"
"Business Analyst","Chicago, IL","44","90219"
"Business Analyst","China Spring, TX","58","120000"
"Business Analyst","City of Industry, CA","31","63820"
"Business Analyst","Clearwater, FL","35","70834"
"Business Analyst","College Park, GA","47","96500"
"Business Analyst","Cologne, Germany","43","89100"
"Business Analyst","Columbia, MD","24","49286"
"Business Analyst","Columbia, SC","45","91551"
"Business Analyst","Connecticut","51","105000"
"Business Analyst","Coral Springs, FL","43","88140"
"Business Analyst","Corinth, TX","40","82500"
"Business Analyst","Corona, CA","39","80000"
"Business Analyst","Costa Mesa, CA","38","79000"
"Business Analyst","Culver City, CA","46","95000"
"Business Analyst","Dallas, TX","41","83341"
"Business Analyst","Daly City, CA","68","140400"
"Business Analyst","Davidsonville, MD","44","90241"
"Business Analyst","Davie, FL","60","124800"
"Business Analyst","Deerfield, IL","39","81120"
"Business Analyst","Delray Beach, FL","34","70000"
"Business Analyst","Denton, TX","46","95000"
"Business Analyst","Des Moines, IA","41","84214"
"Business Analyst","Doral, FL","44","91100"
"Business Analyst","Duluth, GA","36","74500"
"Business Analyst","Düsseldorf, Germany","31","63000"
"Business Analyst","East Lake-Orient Park, FL","44","90000"
"Business Analyst","Easton, PA","27","56160"
"Business Analyst","Edgewood, MD","44","90000"
"Business Analyst","El Dorado Hills, CA","37","75000"
"Business Analyst","El Segundo, CA","45","91726"
"Business Analyst","Elmhurst, IL","46","95000"
"Business Analyst","Emeryville, CA","37","75000"
"Business Analyst","Estero, FL","38","77000"
