"job_title_short","job_location","posted_month","avg_hourly","avg_yearly"
"Business Analyst","Addison, TX","8","26","54000"
"Business Analyst","Agoura Hills, CA","2","36","74750"
"Business Analyst","Ahmedabad, Gujarat, India","7","32","64800"
"Business Analyst","Alajuela Province, Alajuela, Costa Rica","9","24","48000"
"Business Analyst","Alameda, CA","11","54","112320"
"Business Analyst","Albuquerque, NM","2","31","62573"
"Business Analyst","Albuquerque, NM","8","36","72913"
"Business Analyst","Albuquerque, NM","10","25","50118"
"Business Analyst","Albuquerque, NM","11","34","70512"
"Business Analyst","Albuquerque, NM","12","38","78571"
"Business Analyst","Aliso Viejo, CA","12","20","39708"
"Business Analyst","Alpharetta, GA","7","70","145600"
"Business Analyst","Alpharetta, GA","12","38","77500"
"Business Analyst","Altamonte Springs, FL","9","53","109200"
"Business Analyst","Amarillo, TX","2","48","98800"
"Business Analyst","Ames, IA","9","32","65874"
"Business Analyst","Amsterdam, Netherlands","1","31","63000"
"Business Analyst","Amsterdam, Netherlands","3","43","89100"
"Business Analyst","Amsterdam, Netherlands","7","51","105300"
"Business Analyst","Anywhere","1","41","84738"
"Business Analyst","Anywhere","2","51","105259"
"Business Analyst","Anywhere","3","37","74944"
"Business Analyst","Anywhere","4","52","106791"
"Business Analyst","Anywhere","5","44","90084"
"Business Analyst","Anywhere","6","53","109660"
"Business Analyst","Anywhere","7","50","103058"
"Business Analyst","Anywhere","8","47","97006"
"Business Analyst","Anywhere","9","43","88211"
"Business Analyst","Anywhere","10","44","90711"
"Business Analyst","Anywhere","11","40","82644"
"Business Analyst","Anywhere","12","43","87940"
"Business Analyst","Argentina","11","39","79200"
"Business Analyst","Arlington Heights, IL","8","18","37108"
"Business Analyst","Arlington Heights, IL","9","21","42000"
"Business Analyst","Arlington, TX","5","34","70000"
"Business Analyst","Asheville, NC","9","36","74340"
"Business Analyst","Athens, GA","9","14","27633"
"Business Analyst","Athens, Greece","5","33","67950"
"Business Analyst","Athens, Greece","7","31","63000"
"Business Analyst","Atlanta, GA","1","43","87500"
"Business Analyst","Atlanta, GA","2","50","102375"
"Business Analyst","Atlanta, GA","3","41","83684"
"Business Analyst","Atlanta, GA","4","46","94585"
"Business Analyst","Atlanta, GA","5","58","119660"
"Business Analyst","Atlanta, GA","7","33","66910"
"Business Analyst","Atlanta, GA","8","41","84487"
"Business Analyst","Atlanta, GA","9","38","78614"
"Business Analyst","Atlanta, GA","10","30","61360"
"Business Analyst","Atlanta, GA","11","42","86800"
"Business Analyst","Atlanta, GA","12","69","142134"
"Business Analyst","Atlantic City, NJ","4","31","62500"
"Business Analyst","Auburn, AL","8","29","58677"
