"posted_month","job_title_short","avg_hourly","avg_yearly"
"1","Business Analyst","43","87415"
"1","Cloud Engineer","50","103980"
"1","Data Analyst","43","88260"
"1","Data Engineer","62","128854"
"1","Data Scientist","61","125271"
"1","Machine Learning Engineer","61","125299"
"1","Senior Data Analyst","55","113035"
"1","Senior Data Engineer","73","149803"
"1","Senior Data Scientist","71","146011"
"1","Software Engineer","46","95397"
"2","Business Analyst","47","95811"
"2","Cloud Engineer","56","116425"
"2","Data Analyst","45","93100"
"2","Data Engineer","64","131304"
"2","Data Scientist","62","127397"
"2","Machine Learning Engineer","59","121003"
"2","Senior Data Analyst","53","108694"
"2","Senior Data Engineer","70","144377"
"2","Senior Data Scientist","72","148632"
"2","Software Engineer","53","109165"
"3","Business Analyst","44","90916"
"3","Cloud Engineer","39","80901"
"3","Data Analyst","45","91906"
"3","Data Engineer","63","129296"
"3","Data Scientist","63","129371"
"3","Machine Learning Engineer","61","126214"
"3","Senior Data Analyst","56","114443"
"3","Senior Data Engineer","70","145116"
"3","Senior Data Scientist","73","150830"
"3","Software Engineer","53","108182"
"4","Business Analyst","45","91859"
"4","Cloud Engineer","49","101229"
"4","Data Analyst","44","91227"
"4","Data Engineer","63","129941"
"4","Data Scientist","62","127020"
"4","Machine Learning Engineer","57","117230"
"4","Senior Data Analyst","55","112523"
"4","Senior Data Engineer","70","145050"
"4","Senior Data Scientist","73","150439"
"4","Software Engineer","54","111896"
"5","Business Analyst","47","96728"
"5","Cloud Engineer","52","106808"
"5","Data Analyst","44","90866"
"5","Data Engineer","62","127248"
"5","Data Scientist","63","129578"
"5","Machine Learning Engineer","60","124590"
"5","Senior Data Analyst","55","114311"
"5","Senior Data Engineer","73","150842"
"5","Senior Data Scientist","72","148402"
"5","Software Engineer","50","103251"
"6","Business Analyst","46","95172"
"6","Cloud Engineer","44","89660"
"6","Data Analyst","45","92341"
"6","Data Engineer","60","124507"
"6","Data Scientist","63","130463"
"6","Machine Learning Engineer","57","118484"
"6","Senior Data Analyst","59","121307"
"6","Senior Data Engineer","68","141048"
"6","Senior Data Scientist","73","151679"
"6","Software Engineer","51","104970"
"7","Business Analyst","44","91078"
"7","Cloud Engineer","49","100397"
"7","Data Analyst","46","94937"
"7","Data Engineer","60","123154"
"7","Data Scientist","64","131297"
"7","Machine Learning Engineer","61","126351"
"7","Senior Data Analyst","55","113316"
"7","Senior Data Engineer","64","131187"
"7","Senior Data Scientist","74","152596"
"7","Software Engineer","56","115251"
"8","Business Analyst","44","91357"
"8","Cloud Engineer","50","102442"
"8","Data Analyst","41","83927"
"8","Data Engineer","60","123242"
"8","Data Scientist","61","124802"
"8","Machine Learning Engineer","55","113079"
"8","Senior Data Analyst","50","103056"
"8","Senior Data Engineer","64","132266"
"8","Senior Data Scientist","69","142208"
"8","Software Engineer","53","108947"
"9","Business Analyst","41","84996"
"9","Cloud Engineer","55","113414"
"9","Data Analyst","38","78029"
"9","Data Engineer","59","121130"
"9","Data Scientist","57","118205"
"9","Machine Learning Engineer","59","120677"
"9","Senior Data Analyst","48","98377"
"9","Senior Data Engineer","67","138982"
"9","Senior Data Scientist","67","138087"
"9","Software Engineer","57","117075"
"10","Business Analyst","44","89798"
"10","Cloud Engineer","43","88851"
"10","Data Analyst","41","84113"
"10","Data Engineer","61","125594"
"10","Data Scientist","58","119565"
"10","Machine Learning Engineer","57","117405"
"10","Senior Data Analyst","49","101233"
"10","Senior Data Engineer","70","144773"
"10","Senior Data Scientist","72","149352"
"10","Software Engineer","53","108190"
"11","Business Analyst","41","84587"
"11","Cloud Engineer","80","165348"
"11","Data Analyst","39","80540"
"11","Data Engineer","59","121389"
"11","Data Scientist","59","121507"
"11","Machine Learning Engineer","75","154421"
"11","Senior Data Analyst","50","102358"
"11","Senior Data Engineer","70","144859"
"11","Senior Data Scientist","74","152973"
"11","Software Engineer","56","115625"
"12","Business Analyst","43","89385"
"12","Cloud Engineer","67","139249"
"12","Data Analyst","39","79807"
"12","Data Engineer","65","133389"
"12","Data Scientist","60","123430"
"12","Machine Learning Engineer","70","145202"
"12","Senior Data Analyst","56","115608"
"12","Senior Data Engineer","74","153049"
"12","Senior Data Scientist","64","132510"
"12","Software Engineer","56","115458"
